17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19
33,1,1,1,1,1,1,221,175,176,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,35
33,1,159,1,6,1,1,190,221,199,66,66,66,66,66,102,82,68,69,70,100,66,66,66,102,82,98,139,139,70,67,85,85,184,185,186,85,65,85,85,85,85,85,85,85,85,85,85,41,35
33,1,6,1,1,159,1,206,207,208,68,139,69,69,139,82,99,184,85,86,82,82,82,82,82,99,85,250,66,102,82,67,85,200,201,202,250,187,188,40,40,85,85,184,185,186,85,85,41,35
33,1,1,1,159,1,1,241,223,40,99,27,27,27,40,139,84,85,250,82,256,82,82,82,99,184,85,82,82,82,82,100,66,66,66,66,102,203,204,27,28,85,85,200,201,202,85,184,41,35
33,1,1,1,1,241,59,60,40,40,42,20,21,22,55,40,100,101,82,82,68,69,70,139,85,85,85,139,82,256,82,82,82,68,69,26,27,57,220,221,199,85,85,85,85,85,85,85,41,35
33,1,6,1,1,55,27,27,27,28,41,19,3,49,22,55,28,97,139,82,84,155,86,100,101,101,101,102,82,82,82,68,139,99,129,130,20,21,21,22,55,28,85,26,27,27,28,85,41,35
33,1,159,1,6,1,1,20,22,55,57,52,37,37,49,22,55,40,40,97,100,101,102,82,82,68,69,139,139,139,139,99,85,65,145,20,51,37,3,38,1,55,56,57,20,22,44,85,41,35
33,1,1,1,1,1,21,51,54,1,1,1,52,54,52,49,22,55,28,85,82,256,82,82,68,99,26,27,27,27,28,40,85,26,161,36,3,3,37,54,1,1,1,20,37,38,199,85,41,35
33,1,23,25,1,36,3,17,54,23,24,25,43,43,43,52,54,1,55,28,70,69,70,68,99,26,57,1,1,1,55,233,85,42,20,37,3,37,54,1,159,1,20,3,37,38,39,85,41,35
33,23,60,41,20,51,17,54,23,60,40,40,58,59,58,24,236,1,1,55,28,85,97,99,26,57,20,21,22,1,1,183,184,42,52,37,37,54,1,1,1,20,37,37,3,54,39,85,41,35
33,39,85,42,36,3,38,23,60,250,66,85,184,85,85,26,57,1,1,1,55,27,27,27,57,20,37,17,19,22,1,55,40,58,25,52,54,1,1,1,6,52,53,53,54,23,60,85,41,35
33,39,85,42,36,37,38,39,40,81,82,67,85,85,26,57,1,1,1,1,1,1,1,1,1,52,53,49,51,49,22,1,44,40,58,24,24,24,168,24,24,168,24,24,24,60,85,85,41,35
33,39,40,42,36,37,38,199,40,81,82,100,101,26,57,1,159,1,1,6,1,1,159,1,1,1,1,52,37,18,54,1,39,40,40,85,40,184,40,40,40,40,40,40,40,40,85,85,41,35
33,39,40,42,36,37,38,39,40,81,82,82,83,42,1,1,1,1,1,1,23,168,25,20,21,22,1,1,1,1,1,23,60,40,40,40,40,40,40,40,40,40,40,184,40,40,85,184,41,35
33,39,40,42,36,37,38,55,40,81,256,82,83,58,236,1,20,21,22,1,39,85,41,52,19,37,49,1,159,1,241,60,40,26,27,56,56,56,56,56,56,56,56,56,56,28,40,85,41,35
33,39,40,42,52,19,49,22,39,81,82,82,99,40,41,1,52,37,37,22,55,28,41,1,52,53,54,1,1,23,60,40,40,42,20,21,21,1,1,1,159,1,52,49,22,55,233,85,41,35
33,39,40,58,236,19,3,33,199,81,82,99,40,26,57,1,20,3,37,38,43,44,58,25,1,1,1,1,6,199,40,40,40,42,52,19,3,37,22,1,1,6,1,52,19,22,44,40,41,35
33,39,40,40,42,52,53,54,44,97,139,40,26,57,1,20,51,37,37,54,43,55,233,58,25,1,1,1,23,60,40,40,40,58,25,52,53,19,37,22,1,1,1,159,36,38,44,40,41,35
33,39,40,40,58,59,59,253,254,40,26,27,57,1,20,51,37,3,54,1,43,43,55,28,58,25,1,241,60,40,40,184,185,186,58,25,1,52,37,3,22,1,6,1,36,38,199,40,41,35
33,39,40,40,40,40,40,40,40,40,41,43,1,20,51,3,37,54,1,1,43,43,43,55,28,58,253,254,40,40,40,200,201,202,40,58,25,1,52,37,37,22,1,1,52,54,44,40,41,35
33,39,40,184,250,186,40,40,40,40,41,43,1,35,37,3,54,1,1,1,6,43,43,43,55,85,85,85,85,85,85,85,138,139,140,40,58,25,1,52,19,37,22,1,23,24,60,40,41,35
33,39,40,200,201,202,40,40,40,40,41,43,20,51,3,54,1,1,1,1,6,43,43,43,43,55,40,184,40,40,40,40,154,155,156,40,40,58,25,1,36,3,38,1,44,40,184,40,41,35
